full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,109822,109822,18241,164,164,35,https://github.com/anthropics/claude-code
claude-code-best/claude-code,14153,14153,14213,87,87,50,https://github.com/claude-code-best/claude-code
affaan-m/everything-claude-code,142391,142391,21635,688,688,172,https://github.com/affaan-m/everything-claude-code
jarmuine/claude-code,1856,1856,5509,5,5,14,https://github.com/jarmuine/claude-code
shareAI-lab/learn-claude-code,49022,49022,7928,134,134,25,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,8507,8507,14169,17,17,17,https://github.com/ChinaSiro/claude-code-sourcemap
yasasbanukaofficial/claude-code,1733,1733,2997,33,33,51,https://github.com/yasasbanukaofficial/claude-code
codeaashu/claude-code,1706,1706,2561,46,46,53,https://github.com/codeaashu/claude-code
tanbiralam/claude-code,1290,1290,2217,9,9,12,https://github.com/tanbiralam/claude-code
hesreallyhim/awesome-claude-code,36911,36911,2928,62,62,7,https://github.com/hesreallyhim/awesome-claude-code
RishabhK103/claude-code,49,49,7384,1,1,0,https://github.com/RishabhK103/claude-code
pengchengneo/Claude-Code,1051,1051,2002,9,9,4,https://github.com/pengchengneo/Claude-Code
musistudio/claude-code-router,31629,31629,2501,28,28,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,24224,24224,2379,11,11,0,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,32389,32389,2968,87,87,10,https://github.com/shanraisshan/claude-code-best-practice
LING71671/Open-ClaudeCode,660,660,983,2,2,8,https://github.com/LING71671/Open-ClaudeCode
Onewon/claude-code,165,165,2203,-1,-1,4,https://github.com/Onewon/claude-code
oboard/claude-code-rev,2791,2791,3592,9,9,17,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2055,2055,3366,9,9,9,https://github.com/ponponon/claude_code_src
VoltAgent/awesome-claude-code-subagents,16455,16455,1859,44,44,5,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6913,6913,1672,7,7,0,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,8345,8345,1549,25,25,6,https://github.com/Piebald-AI/claude-code-system-prompts
Donchitos/Claude-Code-Game-Studios,8244,8244,1245,16,16,4,https://github.com/Donchitos/Claude-Code-Game-Studios
diet103/claude-code-infrastructure-showcase,9421,9421,1203,4,4,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,8504,8504,629,6,6,0,https://github.com/frankbria/ralph-claude-code
T-Lab-CUHKSZ/claude-code,283,283,577,0,0,0,https://github.com/T-Lab-CUHKSZ/claude-code
hangsman/claude-code-source,732,732,1692,1,1,5,https://github.com/hangsman/claude-code-source
ykdojo/claude-code-tips,7182,7182,504,5,5,1,https://github.com/ykdojo/claude-code-tips
ChrisWiles/claude-code-showcase,5727,5727,512,3,3,1,https://github.com/ChrisWiles/claude-code-showcase
pedrohcgs/claude-code-my-workflow,850,850,1689,3,3,9,https://github.com/pedrohcgs/claude-code-my-workflow
chauncygu/collection-claude-code-source-code,1666,1666,1883,26,26,14,https://github.com/chauncygu/collection-claude-code-source-code
liuup/claude-code-analysis,1003,1003,983,22,22,14,https://github.com/liuup/claude-code-analysis
OneRedOak/claude-code-workflows,3770,3770,554,-1,-1,0,https://github.com/OneRedOak/claude-code-workflows
huangserva/claude-code-cli,518,518,1241,0,0,0,https://github.com/huangserva/claude-code-cli
leaked-claude-code/leaked-claude-code,825,825,1012,5,5,4,https://github.com/leaked-claude-code/leaked-claude-code
qwibitai/nanoclaw,26659,26659,10910,35,35,34,https://github.com/qwibitai/nanoclaw
1rgs/claude-code-proxy,3377,3377,446,1,1,0,https://github.com/1rgs/claude-code-proxy
lintsinghua/claude-code-book,2174,2174,540,22,22,2,https://github.com/lintsinghua/claude-code-book
777genius/claude-code-source-code,880,880,1126,0,0,0,https://github.com/777genius/claude-code-source-code
disler/claude-code-hooks-mastery,3476,3476,593,0,0,0,https://github.com/disler/claude-code-hooks-mastery
anthropics/skills,111529,111529,12633,183,183,26,https://github.com/anthropics/skills
zebbern/claude-code-guide,3861,3861,365,3,3,0,https://github.com/zebbern/claude-code-guide
sickn33/antigravity-awesome-skills,31065,31065,5183,80,80,12,https://github.com/sickn33/antigravity-awesome-skills
alex000kim/claude-code,194,194,304,0,0,1,https://github.com/alex000kim/claude-code
Maciek-roboblog/Claude-Code-Usage-Monitor,7377,7377,364,5,5,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
VineeTagarwaL-code/claude-code,258,258,261,0,0,0,https://github.com/VineeTagarwaL-code/claude-code
kodu-ai/claude-coder,5281,5281,198,0,0,0,https://github.com/kodu-ai/claude-coder
zstmfhy/Claude-code,188,188,284,1,1,1,https://github.com/zstmfhy/Claude-code
Yuyz0112/claude-code-reverse,2336,2336,401,-1,-1,1,https://github.com/Yuyz0112/claude-code-reverse
xorespesp/claude-code,204,204,279,3,3,2,https://github.com/xorespesp/claude-code
lorryjovens-hub/claude-code-rust,1148,1148,460,17,17,7,https://github.com/lorryjovens-hub/claude-code-rust
fuergaosi233/claude-code-proxy,2346,2346,329,2,2,0,https://github.com/fuergaosi233/claude-code-proxy
FlorianBruniaux/claude-code-ultimate-guide,2979,2979,422,13,13,-1,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
anthropics/claude-code-security-review,4138,4138,363,3,3,1,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2364,2364,320,3,3,1,https://github.com/RichardAtCT/claude-code-telegram
freestylefly/claude-code,119,119,273,2,2,1,https://github.com/freestylefly/claude-code
Cranot/claude-code-guide,2574,2574,285,1,1,0,https://github.com/Cranot/claude-code-guide
AprilNEA/claude-code-source,358,358,607,1,1,0,https://github.com/AprilNEA/claude-code-source
chiragjoshi12/claude-code,175,175,213,3,3,2,https://github.com/chiragjoshi12/claude-code
Alishahryar1/free-claude-code,1702,1702,302,13,13,4,https://github.com/Alishahryar1/free-claude-code
anthropics/claude-code-base-action,784,784,598,0,0,0,https://github.com/anthropics/claude-code-base-action
ding113/claude-code-hub,2299,2299,261,4,4,0,https://github.com/ding113/claude-code-hub
Kuberwastaken/claurst,8481,8481,7620,53,53,14,https://github.com/Kuberwastaken/claurst
Windy3f3f3f3f/how-claude-code-works,1530,1530,456,11,11,1,https://github.com/Windy3f3f3f3f/how-claude-code-works
fazxes/Claude-code,191,191,198,2,2,1,https://github.com/fazxes/Claude-code
eyaltoledano/claude-task-master,26421,26421,2475,3,3,1,https://github.com/eyaltoledano/claude-task-master
mehmoodosman/claude-code,150,150,208,4,4,0,https://github.com/mehmoodosman/claude-code
wanshuiyin/Auto-claude-code-research-in-sleep,5629,5629,493,15,15,2,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
router-for-me/CLIProxyAPI,23534,23534,3933,67,67,8,https://github.com/router-for-me/CLIProxyAPI
https-deeplearning-ai/sc-claude-code-files,479,479,648,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
edmund-io/edmunds-claude-code,1383,1383,282,2,2,0,https://github.com/edmund-io/edmunds-claude-code
obra/superpowers,137255,137255,11585,355,355,39,https://github.com/obra/superpowers
Pimzino/claude-code-spec-workflow,3624,3624,256,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
guanshan/ClaudeCode,52,52,205,0,0,0,https://github.com/guanshan/ClaudeCode
snarktank/ralph,14497,14497,1480,25,25,3,https://github.com/snarktank/ralph
wshobson/agents,33064,33064,3599,17,17,-1,https://github.com/wshobson/agents
repowise-dev/claude-code-prompts,801,801,321,9,9,5,https://github.com/repowise-dev/claude-code-prompts
bfly123/claude_code_bridge,2104,2104,197,3,3,0,https://github.com/bfly123/claude_code_bridge
luyao618/Claude-Code-Source-Study,958,958,415,8,8,3,https://github.com/luyao618/Claude-Code-Source-Study
lowcortisolprogrammer/claude-code,169,169,160,1,1,0,https://github.com/lowcortisolprogrammer/claude-code
anthropics/claude-plugins-official,16136,16136,1816,24,24,9,https://github.com/anthropics/claude-plugins-official
isboyjc/claude-code,128,128,180,1,1,0,https://github.com/isboyjc/claude-code
ghuntley/claude-code-source-code-deobfuscation,964,964,552,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
Yeachan-Heo/oh-my-claudecode,24954,24954,2293,144,144,16,https://github.com/Yeachan-Heo/oh-my-claudecode
andrew-kramer-inno/claude-code-source-build,548,548,491,2,2,-1,https://github.com/andrew-kramer-inno/claude-code-source-build
garrytan/gstack,65343,65343,8934,284,284,55,https://github.com/garrytan/gstack
carlvellotti/claude-code-pm-course,1758,1758,273,1,1,1,https://github.com/carlvellotti/claude-code-pm-course
feiskyer/claude-code-settings,1416,1416,210,1,1,0,https://github.com/feiskyer/claude-code-settings
alirezarezvani/claude-skills,9727,9727,1194,48,48,8,https://github.com/alirezarezvani/claude-skills
AICoderTudou/claude-code-tudou,426,426,355,10,10,6,https://github.com/AICoderTudou/claude-code-tudou
JrCx7scC/claude-code-source,273,273,406,9,9,6,https://github.com/JrCx7scC/claude-code-source
sugyan/claude-code-webui,999,999,232,1,1,0,https://github.com/sugyan/claude-code-webui
siteboon/claudecodeui,9532,9532,1255,6,6,0,https://github.com/siteboon/claudecodeui
rohitg00/awesome-claude-code-toolkit,1108,1108,306,2,2,3,https://github.com/rohitg00/awesome-claude-code-toolkit
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,3002,3002,567,9,9,2,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
Hyper66666/claude-code-sourcemap,199,199,450,1,1,1,https://github.com/Hyper66666/claude-code-sourcemap
centminmod/my-claude-code-setup,2161,2161,217,-1,-1,0,https://github.com/centminmod/my-claude-code-setup
darcyegb/ClaudeCodeAgents,647,647,58,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
lst97/claude-code-sub-agents,1519,1519,240,0,0,0,https://github.com/lst97/claude-code-sub-agents
luongnv89/claude-howto,21201,21201,2517,277,277,28,https://github.com/luongnv89/claude-howto
